GO:0045759	GO:0045760
GO:0046007	GO:0042104
GO:0032926	GO:0032927
GO:0032336	GO:0032337
GO:0002865	GO:0002866
GO:0002878	GO:0002879
GO:0002674	GO:0002675
GO:0002823	GO:0002824
GO:0002820	GO:0002821
GO:0060169	GO:0060168
GO:0032250	GO:0032251
GO:0007194	GO:0045762
GO:0051460	GO:0051461
GO:0048083	GO:0048084
GO:0045709	GO:0045711
GO:0031158	GO:0031159
GO:0032348	GO:0032349
GO:0032345	GO:0032346
GO:0046636	GO:0046635
GO:0046639	GO:0046638
GO:0046642	GO:0046641
GO:0033242	GO:0033243
GO:0033239	GO:0033240
GO:0051953	GO:0051954
GO:0045763	GO:0045764
GO:0051956	GO:0051957
GO:0051942	GO:0051943
GO:0042985	GO:0042986
GO:0051886	GO:0051885
GO:0016525	GO:0045766
GO:0031541	GO:0031542
GO:0031538	GO:0031539
GO:0019987	GO:0045768
GO:0002809	GO:0006963
GO:0002787	GO:0002803
GO:0002798	GO:0002799
GO:0001814	GO:0001815
GO:0002811	GO:0006967
GO:0002789	GO:0002804
GO:0002801	GO:0002802
GO:0002599	GO:0002600
GO:0002590	GO:0002591
GO:0002596	GO:0002597
GO:0002587	GO:0002588
GO:0002584	GO:0002585
GO:0002581	GO:0002582
GO:0002602	GO:0002603
GO:0002593	GO:0002594
GO:0002578	GO:0002579
GO:0050858	GO:0050857
GO:0008348	GO:0002760
GO:0002806	GO:0002807
GO:0002785	GO:0002225
GO:0002795	GO:0002796
GO:0045689	GO:0045690
GO:0050689	GO:0002230
GO:0043066	GO:0043065
GO:0032099	GO:0032100
GO:0032013	GO:0032014
GO:0048712	GO:0048711
GO:0045769	GO:0045770
GO:0032780	GO:0032781
GO:0010060	GO:0010059
GO:0051986	GO:0051987
GO:0045608	GO:0045609
GO:0045771	GO:0045772
GO:0048325	GO:0048326
GO:0048329	GO:0048330
GO:0048843	GO:0048842
GO:0048692	GO:0048691
GO:0030517	GO:0045773
GO:0048681	GO:0048680
GO:0050771	GO:0050772
GO:0050869	GO:0050871
GO:0002671	GO:0002672
GO:0002623	GO:0002624
GO:0002903	GO:0002904
GO:0002722	GO:0002723
GO:0002868	GO:0002869
GO:0045578	GO:0045579
GO:0002713	GO:0002714
GO:0030889	GO:0030890
GO:0050859	GO:0050861
GO:0002662	GO:0002663
GO:0001925	GO:0001926
GO:0045641	GO:0045642
GO:0048521	GO:0048520
GO:0045774	GO:0045775
GO:0045853	GO:0045854
GO:0051100	GO:0051099
GO:0048519	GO:0048518
GO:0002814	GO:0002817
GO:0002814	GO:0006964
GO:0002817	GO:0006965
GO:0009890	GO:0009891
GO:0051517	GO:0051518
GO:0030195	GO:0030194
GO:0045776	GO:0045777
GO:0043537	GO:0043536
GO:0030514	GO:0030513
GO:0030502	GO:0030501
GO:0046851	GO:0046852
GO:0045779	GO:0045780
GO:0030712	GO:0030711
GO:0031552	GO:0031553
GO:0031549	GO:0031550
GO:0014713	GO:0014712
GO:0045783	GO:0045784
GO:0032235	GO:0032236
GO:0051927	GO:0051929
GO:0051926	GO:0051928
GO:0045955	GO:0045956
GO:0046588	GO:0046587
GO:0051042	GO:0051041
GO:0050849	GO:0050850
GO:0030818	GO:0030819
GO:0030821	GO:0030822
GO:0030815	GO:0030816
GO:0045912	GO:0045913
GO:0060044	GO:0060045
GO:0055026	GO:0055025
GO:0055019	GO:0055020
GO:0055022	GO:0055023
GO:0051892	GO:0051891
GO:0043154	GO:0043280
GO:0009895	GO:0009896
GO:0051796	GO:0051795
GO:0043086	GO:0043085
GO:0045914	GO:0045915
GO:0033604	GO:0033605
GO:0051945	GO:0051944
GO:0045225	GO:0045224
GO:0043371	GO:0043372
GO:0032833	GO:0032834
GO:0032830	GO:0032831
GO:0043377	GO:0043378
GO:0050866	GO:0050867
GO:0033629	GO:0033630
GO:0007162	GO:0045785
GO:0045781	GO:0045782
GO:0045596	GO:0045597
GO:0051782	GO:0051781
GO:0010454	GO:0010455
GO:0009996	GO:0042660
GO:0030308	GO:0030307
GO:0031342	GO:0031343
GO:0030336	GO:0030335
GO:0051271	GO:0051272
GO:0031345	GO:0031346
GO:0008285	GO:0008284
GO:0045792	GO:0045793
GO:0045794	GO:0045795
GO:0033633	GO:0033634
GO:0022408	GO:0022409
GO:0001953	GO:0001954
GO:0031327	GO:0031328
GO:0031330	GO:0031331
GO:0051129	GO:0051130
GO:0051245	GO:0010186
GO:0002692	GO:0002693
GO:0031324	GO:0031325
GO:0032848	GO:0032849
GO:0048523	GO:0048522
GO:0032269	GO:0032270
GO:0002915	GO:0002916
GO:0002899	GO:0002900
GO:0002896	GO:0002897
GO:0002647	GO:0002648
GO:0046600	GO:0046601
GO:0046606	GO:0046607
GO:0030827	GO:0030828
GO:0030830	GO:0030831
GO:0030824	GO:0030825
GO:0045079	GO:0045080
GO:0032682	GO:0032722
GO:0050922	GO:0050921
GO:0045800	GO:0045801
GO:0045796	GO:0045797
GO:0045541	GO:0045542
GO:0032375	GO:0032376
GO:0032331	GO:0032332
GO:0045798	GO:0045799
GO:0031939	GO:0031940
GO:0031936	GO:0031937
GO:0051985	GO:0051984
GO:0002875	GO:0002876
GO:0002881	GO:0002882
GO:0002677	GO:0002678
GO:0042754	GO:0042753
GO:0042323	GO:0046010
GO:0042322	GO:0046005
GO:0042321	GO:0045938
GO:0050819	GO:0050820
GO:0046142	GO:0046143
GO:0051198	GO:0051197
GO:0051195	GO:0051194
GO:0033342	GO:0033343
GO:0032966	GO:0032967
GO:0048698	GO:0048697
GO:0048695	GO:0048694
GO:0048685	GO:0048684
GO:0048671	GO:0048672
GO:0045957	GO:0045958
GO:0045959	GO:0045960
GO:0001869	GO:0001870
GO:0045916	GO:0045917
GO:0045316	GO:0045315
GO:0048077	GO:0048078
GO:0046673	GO:0046672
GO:0031138	GO:0031139
GO:0031135	GO:0031136
GO:0045421	GO:0045422
GO:0032683	GO:0032723
GO:0051465	GO:0051466
GO:0051463	GO:0051464
GO:0042690	GO:0042691
GO:0045593	GO:0045594
GO:0048080	GO:0048081
GO:0048782	GO:0048783
GO:0031280	GO:0031281
GO:0030803	GO:0030804
GO:0030806	GO:0030807
GO:0030800	GO:0030801
GO:0051344	GO:0051343
GO:0045736	GO:0045737
GO:0001960	GO:0001961
GO:0002743	GO:0002744
GO:0042036	GO:0042108
GO:0002719	GO:0002720
GO:0001818	GO:0001819
GO:0002740	GO:0002741
GO:0050710	GO:0050715
GO:0032466	GO:0032467
GO:0051803	GO:0051804
GO:0051713	GO:0051714
GO:0045918	GO:0045919
GO:0051494	GO:0051495
GO:0045802	GO:0045803
GO:0043318	GO:0043319
GO:0045584	GO:0045585
GO:0031348	GO:0031349
GO:0050774	GO:0050775
GO:0002605	GO:0002606
GO:0002731	GO:0002732
GO:0032076	GO:0032077
GO:0035305	GO:0035306
GO:0045961	GO:0045962
GO:0048640	GO:0048639
GO:0051093	GO:0051094
GO:0003077	GO:0003103
GO:0043392	GO:0043388
GO:0043518	GO:0043517
GO:0032876	GO:0032877
GO:0051107	GO:0051106
GO:0051053	GO:0051054
GO:0045910	GO:0045911
GO:0045738	GO:0045739
GO:0032297	GO:0032298
