NCBITaxon:117153	NCBITaxon:108651
NCBITaxon:216780	NCBITaxon:235886
NCBITaxon:708382	NCBITaxon:474199
NCBITaxon:929553	NCBITaxon:425461
NCBITaxon:929548	NCBITaxon:75214
NCBITaxon:389752	NCBITaxon:389759
NCBITaxon:197349	NCBITaxon:197402
NCBITaxon:204105	NCBITaxon:123154
NCBITaxon:231841	NCBITaxon:71059
NCBITaxon:62157	NCBITaxon:325887
NCBITaxon:161142	NCBITaxon:76455
NCBITaxon:186754	NCBITaxon:141573
NCBITaxon:58174	NCBITaxon:16965
NCBITaxon:6964	NCBITaxon:7501
NCBITaxon:185876	NCBITaxon:476751
NCBITaxon:141290	NCBITaxon:226773
NCBITaxon:41474	NCBITaxon:30624
NCBITaxon:156232	NCBITaxon:57736
NCBITaxon:591983	NCBITaxon:3149
NCBITaxon:293112	NCBITaxon:925788
NCBITaxon:152238	NCBITaxon:321417
NCBITaxon:281535	NCBITaxon:131680
NCBITaxon:28377	NCBITaxon:925790
NCBITaxon:102291	NCBITaxon:178050
NCBITaxon:225253	NCBITaxon:177449
NCBITaxon:131587	NCBITaxon:331221
NCBITaxon:206799	NCBITaxon:206716
NCBITaxon:398848	NCBITaxon:862436
NCBITaxon:266162	NCBITaxon:266172
NCBITaxon:95184	NCBITaxon:56400
NCBITaxon:186634	NCBITaxon:186627
NCBITaxon:557381	NCBITaxon:31092
NCBITaxon:172142	NCBITaxon:42653
NCBITaxon:416437	NCBITaxon:695958
NCBITaxon:192469	NCBITaxon:34761
NCBITaxon:280797	NCBITaxon:54622
NCBITaxon:280796	NCBITaxon:94599
NCBITaxon:170348	NCBITaxon:557275
NCBITaxon:36258	NCBITaxon:54451
NCBITaxon:118890	NCBITaxon:210260
NCBITaxon:241857	NCBITaxon:93068
NCBITaxon:241859	NCBITaxon:662020
NCBITaxon:129554	NCBITaxon:685404
NCBITaxon:258764	NCBITaxon:419710
NCBITaxon:694921	NCBITaxon:66012
NCBITaxon:291246	NCBITaxon:873066
NCBITaxon:36004	NCBITaxon:66680
NCBITaxon:143339	NCBITaxon:179472
NCBITaxon:414773	NCBITaxon:295696
NCBITaxon:9950	NCBITaxon:169451
NCBITaxon:473346	NCBITaxon:162852
NCBITaxon:107777	NCBITaxon:442656
NCBITaxon:107777	NCBITaxon:309226
NCBITaxon:43446	NCBITaxon:8797
NCBITaxon:413209	NCBITaxon:13664
NCBITaxon:84255	NCBITaxon:145616
NCBITaxon:247271	NCBITaxon:274369
NCBITaxon:60095	NCBITaxon:97495
NCBITaxon:249539	NCBITaxon:75434
NCBITaxon:246982	NCBITaxon:246987
NCBITaxon:76722	NCBITaxon:862436
NCBITaxon:413035	NCBITaxon:59332
NCBITaxon:230015	NCBITaxon:297543
NCBITaxon:9505	NCBITaxon:56272
NCBITaxon:6033	NCBITaxon:6037
NCBITaxon:7404	NCBITaxon:144427
NCBITaxon:511395	NCBITaxon:511369
NCBITaxon:596876	NCBITaxon:166431
NCBITaxon:42612	NCBITaxon:648141
NCBITaxon:35682	NCBITaxon:189818
NCBITaxon:325525	NCBITaxon:256813
NCBITaxon:303611	NCBITaxon:266249
NCBITaxon:493680	NCBITaxon:699803
NCBITaxon:57945	NCBITaxon:355063
NCBITaxon:912983	NCBITaxon:320925
NCBITaxon:371437	NCBITaxon:307612
NCBITaxon:699890	NCBITaxon:697998
NCBITaxon:345545	NCBITaxon:996922
NCBITaxon:80765	NCBITaxon:214836
NCBITaxon:973915	NCBITaxon:853627
NCBITaxon:33513	NCBITaxon:33514
NCBITaxon:355414	NCBITaxon:95077
NCBITaxon:130237	NCBITaxon:50184
NCBITaxon:122734	NCBITaxon:65269
NCBITaxon:120400	NCBITaxon:106762
NCBITaxon:763951	NCBITaxon:359879
NCBITaxon:289405	NCBITaxon:289406
NCBITaxon:516989	NCBITaxon:5145
NCBITaxon:207355	NCBITaxon:78836
NCBITaxon:648129	NCBITaxon:222020
NCBITaxon:129397	NCBITaxon:81052
NCBITaxon:511355	NCBITaxon:166518
NCBITaxon:714356	NCBITaxon:46006
NCBITaxon:714357	NCBITaxon:45928
NCBITaxon:551866	NCBITaxon:330847
NCBITaxon:164745	NCBITaxon:401534
NCBITaxon:390042	NCBITaxon:390044
NCBITaxon:390038	NCBITaxon:390039
NCBITaxon:58059	NCBITaxon:9680
NCBITaxon:116701	NCBITaxon:60778
NCBITaxon:401280	NCBITaxon:295642
NCBITaxon:546539	NCBITaxon:43845
NCBITaxon:177639	NCBITaxon:480512
NCBITaxon:147071	NCBITaxon:61339
NCBITaxon:36673	NCBITaxon:59476
NCBITaxon:182296	NCBITaxon:38836
NCBITaxon:8822	NCBITaxon:442149
NCBITaxon:63843	NCBITaxon:186081
NCBITaxon:347979	NCBITaxon:105202
NCBITaxon:117882	NCBITaxon:940787
NCBITaxon:37906	NCBITaxon:37904
NCBITaxon:190810	NCBITaxon:196400
NCBITaxon:48	NCBITaxon:386280
NCBITaxon:44217	NCBITaxon:157716
NCBITaxon:3578	NCBITaxon:465231
NCBITaxon:6344	NCBITaxon:66768
NCBITaxon:42116	NCBITaxon:138595
NCBITaxon:78701	NCBITaxon:547245
NCBITaxon:2369	NCBITaxon:37097
NCBITaxon:256647	NCBITaxon:238591
NCBITaxon:27387	NCBITaxon:6407
NCBITaxon:36602	NCBITaxon:360967
NCBITaxon:481911	NCBITaxon:426866
NCBITaxon:705220	NCBITaxon:337745
NCBITaxon:63087	NCBITaxon:66513
NCBITaxon:164100	NCBITaxon:190585
NCBITaxon:676934	NCBITaxon:30387
NCBITaxon:4247	NCBITaxon:224120
NCBITaxon:159452	NCBITaxon:347451
