PATO:0000584	PATO:0000585
PATO:0001913	PATO:0001914
PATO:0001501	PATO:0001701
PATO:0040011	PATO:0040010
PATO:0000300	PATO:0000299
PATO:0001821	PATO:0002112
PATO:0000983	PATO:0000982
PATO:0002376	PATO:0002377
PATO:0000513	PATO:0000516
PATO:0001538	PATO:0001537
PATO:0001628	PATO:0001627
PATO:0001153	PATO:0001152
PATO:0001614	PATO:0001615
PATO:0001931	PATO:0001930
PATO:0001313	PATO:0001314
PATO:0000438	PATO:0001227
PATO:0001417	PATO:0001416
PATO:0001700	PATO:0001699
PATO:0000330	PATO:0000440
PATO:0001897	PATO:0001896
PATO:0001685	PATO:0001686
PATO:0000891	PATO:0000890
PATO:0001761	PATO:0001762
PATO:0001635	PATO:0001636
PATO:0001638	PATO:0001639
PATO:0002196	PATO:0002195
PATO:0000985	PATO:0000984
PATO:0025001	PATO:0025002
PATO:0002026	PATO:0001818
PATO:0002188	PATO:0002187
PATO:0000900	PATO:0000901
PATO:0001660	PATO:0001661
PATO:0000768	PATO:0000767
PATO:0000447	PATO:0000449
PATO:0001812	PATO:0001811
PATO:0000905	PATO:0000906
PATO:0000907	PATO:0000908
PATO:0000741	PATO:0000742
PATO:0000448	PATO:0000450
PATO:0000723	PATO:0000724
PATO:0000469	PATO:0000471
PATO:0000909	PATO:0000910
PATO:0000481	PATO:0000480
PATO:0000308	PATO:0000309
PATO:0000963	PATO:0000964
PATO:0002441	PATO:0002442
PATO:0002248	PATO:0002249
PATO:0001750	PATO:0001754
PATO:0000487	PATO:0000488
PATO:0000700	PATO:0000701
PATO:0001206	PATO:0001975
PATO:0002151	PATO:0002154
PATO:0002068	PATO:0002069
PATO:0001411	PATO:0001412
