PATO_0002494	PATO_0002495
PATO_0002504	PATO_0002527
PATO_0005012	PATO_0005013
PATO_0015003	PATO_0015004
PATO_0015010	PATO_0015011
PATO_0015014	PATO_0015015
PATO_0015022	PATO_0015023
PATO_0015024	PATO_0015025
PATO_0015027	PATO_0015028
PATO_0025001	PATO_0025002
PATO_0040030	PATO_0040031
PATO_0045091	PATO_0045093
PATO_0045092	PATO_0045094
TXPO_0000286	TXPO_0000287
TXPO_0001460	TXPO_0001461
