after	before
after	during
after	prior to
always	never
always	rarely
backward	forward
backwards	forward
carefully	carelessly
caudally	cranially
delayed	early
densely	sparsely
early	late
fast	slow
frequently	infrequently
frequently	rarely
fully	partially
heavily	lightly
internally	externally
loudly	quietly
medially	laterally
non-randomly	randomly
nonrandomly	randomly
often	rarely
partially	wholly
quickly slowly
simultaneously	assynchronously
strongly	weakly
typically	rarely
usually	rarely
