decreased coiling	http://purl.obolibrary.org/obo/PATO_0001796	increased coiling	http://purl.obolibrary.org/obo/PATO_0001795
decreased combustibility	http://purl.obolibrary.org/obo/PATO_0015023	increased combustibility	http://purl.obolibrary.org/obo/PATO_0015022
decreased concentration	http://purl.obolibrary.org/obo/PATO_0001163	increased concentration	http://purl.obolibrary.org/obo/PATO_0001162
decreased contractility	http://purl.obolibrary.org/obo/PATO_0001581	increased contractility	http://purl.obolibrary.org/obo/PATO_0001580
decreased coordination	http://purl.obolibrary.org/obo/PATO_0001860	increased coordination	http://purl.obolibrary.org/obo/PATO_0001859
decreased curvature	http://purl.obolibrary.org/obo/PATO_0001593	increased curvature	http://purl.obolibrary.org/obo/PATO_0001592
decreased degree of illumination	http://purl.obolibrary.org/obo/PATO_0015015	increased degree of illumination	http://purl.obolibrary.org/obo/PATO_0015014
decreased depth	http://purl.obolibrary.org/obo/PATO_0001472	increased depth	http://purl.obolibrary.org/obo/PATO_0001596
decreased diameter	http://purl.obolibrary.org/obo/PATO_0001715	increased diameter	http://purl.obolibrary.org/obo/PATO_0001714
decreased distance	http://purl.obolibrary.org/obo/PATO_0000375	increased distance	http://purl.obolibrary.org/obo/PATO_0000374
decreased distribution	http://purl.obolibrary.org/obo/PATO_0001672	increased distribution	http://purl.obolibrary.org/obo/PATO_0001671
decreased duration	http://purl.obolibrary.org/obo/PATO_0000499	increased duration	http://purl.obolibrary.org/obo/PATO_0000498
decreased duration of temperature	http://purl.obolibrary.org/obo/PATO_0001311	increased duration of temperature	http://purl.obolibrary.org/obo/PATO_0001312
decreased efficacy	http://purl.obolibrary.org/obo/PATO_0015003	increased efficacy	http://purl.obolibrary.org/obo/PATO_0015004
decreased efficiency	http://purl.obolibrary.org/obo/PATO_0001675	increased efficiency	http://purl.obolibrary.org/obo/PATO_0001676
decreased elasticity	http://purl.obolibrary.org/obo/PATO_0002288	increased elasticity	http://purl.obolibrary.org/obo/PATO_0002287
decreased elevation	http://purl.obolibrary.org/obo/PATO_0001689	increased elevation	http://purl.obolibrary.org/obo/PATO_0001688
decreased fatigability	http://purl.obolibrary.org/obo/PATO_0001817	increased fatigability	http://purl.obolibrary.org/obo/PATO_0001816
decreased fecundity	http://purl.obolibrary.org/obo/PATO_0001696	increased fecundity	http://purl.obolibrary.org/obo/PATO_0001695
decreased female fertility	http://purl.obolibrary.org/obo/PATO_0001830	increased female fertility	http://purl.obolibrary.org/obo/PATO_0001831
decreased female receptivity	http://purl.obolibrary.org/obo/PATO_0001724	increased female receptivity	http://purl.obolibrary.org/obo/PATO_0001723
decreased fertility	http://purl.obolibrary.org/obo/PATO_0001834	increased fertility	http://purl.obolibrary.org/obo/PATO_0001835
decreased flexibility	http://purl.obolibrary.org/obo/PATO_0001777	increased flexibility	http://purl.obolibrary.org/obo/PATO_0001776
decreased fluid flow	http://purl.obolibrary.org/obo/PATO_0001838	increased fluid flow	http://purl.obolibrary.org/obo/PATO_0001839
decreased fluorescence	http://purl.obolibrary.org/obo/PATO_0001927	increased fluorescence	http://purl.obolibrary.org/obo/PATO_0001926
decreased force	http://purl.obolibrary.org/obo/PATO_0002246	increased force	http://purl.obolibrary.org/obo/PATO_0002245
decreased fragility	http://purl.obolibrary.org/obo/PATO_0002056	increased fragility	http://purl.obolibrary.org/obo/PATO_0002055
decreased frequency	http://purl.obolibrary.org/obo/PATO_0000381	increased frequency	http://purl.obolibrary.org/obo/PATO_0000380
decreased functionality	http://purl.obolibrary.org/obo/PATO_0001624	increased functionality	http://purl.obolibrary.org/obo/PATO_0001625
decreased height	http://purl.obolibrary.org/obo/PATO_0000569	increased height	http://purl.obolibrary.org/obo/PATO_0000570
decreased humidity	http://purl.obolibrary.org/obo/PATO_0015011	increased humidity	http://purl.obolibrary.org/obo/PATO_0015010
decreased intensity	http://purl.obolibrary.org/obo/PATO_0001783	increased intensity	http://purl.obolibrary.org/obo/PATO_0001782
decreased length	http://purl.obolibrary.org/obo/PATO_0000574	increased length	http://purl.obolibrary.org/obo/PATO_0000573
decreased life span	http://purl.obolibrary.org/obo/PATO_0001604	increased life span	http://purl.obolibrary.org/obo/PATO_0001603
decreased magnetism	http://purl.obolibrary.org/obo/PATO_0001684	increased magnetism	http://purl.obolibrary.org/obo/PATO_0001683
decreased magnitude	http://purl.obolibrary.org/obo/PATO_0002018	increased magnitude	http://purl.obolibrary.org/obo/PATO_0002017
decreased male fertility	http://purl.obolibrary.org/obo/PATO_0001833	increased male fertility	http://purl.obolibrary.org/obo/PATO_0001832
decreased male receptivity	http://purl.obolibrary.org/obo/PATO_0001726	increased male receptivity	http://purl.obolibrary.org/obo/PATO_0001725
decreased mass	http://purl.obolibrary.org/obo/PATO_0001562	increased mass	http://purl.obolibrary.org/obo/PATO_0001563
decreased mass density	http://purl.obolibrary.org/obo/PATO_0001790	increased mass density	http://purl.obolibrary.org/obo/PATO_0001788
decreased mobility	http://purl.obolibrary.org/obo/PATO_0002283	increased mobility	http://purl.obolibrary.org/obo/PATO_0002282
decreased object quality	http://purl.obolibrary.org/obo/PATO_0002303	increased object quality	http://purl.obolibrary.org/obo/PATO_0002305
decreased occurrence	http://purl.obolibrary.org/obo/PATO_0002052	increased occurrence	http://purl.obolibrary.org/obo/PATO_0002051
decreased odor	http://purl.obolibrary.org/obo/PATO_0001892	increased odor	http://purl.obolibrary.org/obo/PATO_0001893
decreased osmolality	http://purl.obolibrary.org/obo/PATO_0002028	increased osmolality	http://purl.obolibrary.org/obo/PATO_0002029
decreased osmolarity	http://purl.obolibrary.org/obo/PATO_0001656	increased osmolarity	http://purl.obolibrary.org/obo/PATO_0001657
decreased perimeter	http://purl.obolibrary.org/obo/PATO_0001713	increased perimeter	http://purl.obolibrary.org/obo/PATO_0001712
