	decreased life span	PATO:0001604	increased life span	PATO:0001603
	decreased linear velocity	PATO:0040033	increased linear velocity	PATO:0040032
	decreased magnetism	PATO:0001684	increased magnetism	PATO:0001683
	decreased magnitude	PATO:0002018	increased magnitude	PATO:0002017
	decreased male fertility	PATO:0001833	increased male fertility	PATO:0001832
	decreased male receptivity	PATO:0001726	increased male receptivity	PATO:0001725
	decreased mass density	PATO:0001790	increased mass density	PATO:0001788
	decreased mass	PATO:0001562	increased mass	PATO:0001563
	decreased mobility	PATO:0002283	increased mobility	PATO:0002282
	decreased object quality	PATO:0002303	increased object quality	PATO:0002305
	decreased occurrence	PATO:0002052	increased occurrence	PATO:0002051
	decreased odor	PATO:0001892	increased odor	PATO:0001893
	decreased osmolality	PATO:0002028	increased osmolality	PATO:0002029
	decreased osmolarity	PATO:0001656	increased osmolarity	PATO:0001657
	decreased perimeter	PATO:0001713	increased perimeter	PATO:0001712
	decreased permeability	PATO:0001578	increased permeability	PATO:0001577
	decreased phosphorylation	PATO:0002222	increased phosphorylation	PATO:0002221
	decreased photosensitivity	PATO:0001697	increased photosensitivity	PATO:0001698
	decreased pigmentation	PATO:0002251	increased pigmentation	PATO:0002250
	decreased porosity	PATO:0015025	increased porosity	PATO:0015024
	decreased position	PATO:0001476	increased position	PATO:0001475
	decreased pressure	PATO:0001575	increased pressure	PATO:0001576
	decreased process quality	PATO:0002302	increased process quality	PATO:0002304
	decreased propagation velocity	PATO:0010004	increased propagation velocity	PATO:0010003
	decreased proportionality to	PATO:0040042	increased proportionality to	PATO:0040043
	decreased quality	PATO:0002301	increased quality	PATO:0002300
	decreased radioactivity	PATO:0001743	increased radioactivity	PATO:0001742
	decreased radiopacity	PATO:0002145	increased radiopacity	PATO:0002144
	decreased rate	PATO:0000911	increased rate	PATO:0000912
	decreased resistance to	PATO:0001651	increased resistance to	PATO:0001650
	decreased sensitivity of a process to oxygen	PATO:0001554	increased sensitivity of a process to oxygen	PATO:0001553
	decreased sensitivity of a process	PATO:0001552	increased sensitivity of a process	PATO:0001551
	decreased sensitivity to irradiation	PATO:0001807	increased sensitivity to irradiation	PATO:0001808
	decreased sensitivity toward	PATO:0001550	increased sensitivity toward	PATO:0001549
	decreased size	PATO:0000587	increased size	PATO:0000586
	decreased solubility	PATO:0001664	increased solubility	PATO:0001663
	decreased spatial extent of a process	PATO:0055001	increased spatial extent of a process	PATO:0055002
	decreased speed	PATO:0000304	increased speed	PATO:0000303
	decreased stability	PATO:0015028	increased stability	PATO:0015027
	decreased strength	PATO:0001779	increased strength	PATO:0001778
	decreased susceptibility toward	PATO:0001670	increased susceptibility toward	PATO:0001669
	decreased temperature	PATO:0001306	increased temperature	PATO:0001305
	decreased tendency	PATO:0002362	increased tendency	PATO:0002361
	decreased thickness	PATO:0000592	increased thickness	PATO:0000591
	decreased threshold	PATO:0000708	increased threshold	PATO:0000706
	decreased tolerance to	PATO:0002394	increased tolerance to	PATO:0002393
	decreased tonicity	PATO:0001619	increased tonicity	PATO:0001618
	decreased turgor	PATO:0001621	increased turgor	PATO:0001622
	decreased variability of color	PATO:0001613	increased variability of color	PATO:0001612
	decreased variability of rate	PATO:0001588	increased variability of rate	PATO:0001587
	decreased variability of size	PATO:0001957	increased variability of size	PATO:0001958
	decreased variability of temperature	PATO:0001307	increased variability of temperature	PATO:0001308
	decreased variability	PATO:0001583	increased variability	PATO:0001584
	decreased velocity	PATO:0002472	increased velocity	PATO:0002471
	decreased viscosity	PATO:0001694	increased viscosity	PATO:0001693
	decreased volume	PATO:0000596	increased volume	PATO:0000595
	decreased waxiness	PATO:0002383	increased waxiness	PATO:0002382
	decreased weight	PATO:0000583	increased weight	PATO:0000582
	decreased wetness	PATO:0001826	increased wetness	PATO:0001825
	decreased width and length	PATO:0040030	increased width and length	PATO:0040031
	decreased width	PATO:0000599	increased width	PATO:0000600
	defasciculated	PATO:0001959	fasciculated	PATO:0001861
	degenerate	PATO:0000639	non-degenerate	PATO:0002038
	dephosphorylated	PATO:0002263	phosphorylated	PATO:0002220
